Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	696.23352	1.6306584	193.45219	72.807747	349550	4.8219123	1	1	-52979.311	77120.719	4801	5684.7	0	-1
1	601.75757	1.7513522	167.89058	74.48378	436325.97	148.09082	1	1	-53130.725	77073.311	5858	5684.7	0	-1
2	766.33521	1.6662366	223.08066	100.29141	231272	4.6491761	1	1	-52908.2	77087.501	2306	5684.7	0	-1
3	667.16449	1.5568268	205.19722	77.87635	202167	4.8204932	1	1	-52904.652	77071.054	2596	5684.7	0	-1
4	94.812683	2.7434908	136.87805	24.474146	25086	5.4887805	1	1	-52998.016	77121.041	1025	5684.7	0	-1
5	582.56	2.6534685	161.16127	57.364128	180697	377.27811	2	1	-52243.302	77124.589	3150	5684.43	1	-1
6	589.65112	1.4356436	101.46918	52.448132	211838	303.57266	2	1	-52096.404	77041.384	4039	5684.43	1	-1
7	376.48059	1.7070435	80.877197	45.051693	199579	4.8575621	2	1	-52192.509	76965.919	4430	5684.43	1	-1
8	740.23767	1.5299096	152.02695	156.814	779836	4.0832496	2	1	-52215.567	76941.086	4973	5684.43	1	-1
9	494.05066	2.2432134	82.443565	44.489471	281040	211.46193	2	1	-52226.855	76905.128	6317	5684.43	1	-1
10	387.77634	1.9658887	80.671616	35.651215	237651	196.56105	2	1	-52172.353	76905.773	6666	5684.43	1	-1
11	505.71487	1.6439567	106.94411	51.39521	334737	3.5923538	2	1	-52064.799	76904.644	6513	5684.43	1	-1
12	480.49686	1.7251636	150.53284	61.621288	205507	3.8530734	2	1	-52256.041	76861.751	3335	5684.43	1	-1
13	566.54382	1.9492977	123.22466	44.290001	258255	74.361176	2	1	-52089.793	77073.795	5831	5684.43	1	-1
14	662.86438	1.490895	168.66795	62.862068	162247	3.8550949	2	1	-52196.217	77053.8	2581	5684.43	1	-1
15	503.88159	1.8094726	133.53824	48.563309	224751	214.84529	2	1	-52330.378	77046.06	4628	5684.43	1	-1
16	639.74591	2.4695875	90.405075	59.435368	484636	108.0742	2	1	-52181.544	77023.001	8154	5684.43	1	-1
17	541.38721	1.5981615	127.89524	43.55632	132629	3.5825944	2	1	-52206.376	77031.548	3045	5684.43	1	-1
18	420.46545	1.4450956	115.38371	52.179932	168489	5.6893773	2	1	-52286.84	77023.324	3229	5684.43	1	-1
19	600.91211	2.0157188	137.08084	50.727932	286765	3.7006898	2	1	-52052.06	77013.971	5653	5684.43	1	-1
20	701.16217	1.7559187	58.476318	51.032272	243526	52.452221	2	1	-52264.91	77011.23	4772	5684.43	1	-1
21	560.31982	1.8915604	76.527916	54.538563	333067	2.9462912	2	1	-52077.376	77005.586	6107	5684.43	1	-1
22	317.99182	2.0596405	82.784927	28.790337	175765	122.56888	2	1	-52146.391	77001.716	6105	5684.43	1	-1
23	299.49884	1.8256867	75.230759	40.008175	259373	212.70816	2	1	-52166.386	76952.857	6483	5684.43	1	-1
24	547.97552	1.8000315	77.025742	59.094898	374248	4.6292439	2	1	-52101.08	76952.374	6333	5684.43	1	-1
25	520.59332	1.496533	209.67149	61.828503	204776	65.014496	2	1	-52264.426	76904.805	3312	5684.43	1	-1
26	400.36902	1.4642857	104.54714	58.657089	224598	33.360668	2	1	-52287.162	76899.806	3829	5684.43	1	-1
27	515.22015	1.5803665	164.97166	62.768826	239212	209.08896	2	1	-52267.651	76926.09	3811	5684.43	1	-1
28	614.33685	1.7035491	185.81944	71.980354	406617.03	46.896618	2	1	-52289.904	76931.895	5649	5684.43	1	-1
29	413.62189	1.614814	105.42767	56.632172	507311	173.32719	2	1	-52064.96	76963.339	8958	5684.43	1	-1
30	526.41754	1.7076607	48.228058	46.774639	294727	8.9739723	2	1	-52243.302	77040.416	6301	5684.43	1	-1
31	476.17184	1.6060433	106.22001	45.017879	156122	5.1776242	2	1	-52127.041	77039.126	3468	5684.43	1	-1
32	607.81195	2.2852148	118.37048	60.038567	351826	5.0998292	2	1	-52160.098	76858.042	5860	5684.43	1	-1
33	415.90082	1.877589	124.54535	50.162544	212940	4.0386338	2	1	-52145.262	76842.562	4245	5684.43	1	-1
34	713.89148	2.0694494	217.33438	77.952904	789584.94	4.9063087	2	1	-52178.158	77112.818	10129	5684.43	1	-1
35	513.99811	1.7234586	150.63538	60.348976	162037	3.6558659	2	1	-52323.927	76981.721	2685	5684.43	1	-1
36	537.22058	2.0406279	101.51158	46.803131	436486	25.801844	2	1	-52239.755	77095.08	9326	5684.43	1	-1
37	612.98737	1.6307177	108.67126	68.813477	184833	3.2133284	2	1	-52274.908	76956.244	2686	5684.43	1	-1
38	560.41864	2.0047515	161.43181	54.86874	150066	3.9287021	2	1	-52225.243	77015.906	2735	5684.43	1	-1
39	733.41345	2.0592578	128.47334	97.720222	1363588	3.2102623	2	1	-52227.016	76980.27	13954	5684.43	1	-1
40	1128.0897	1.8141593	154.43173	131.85204	368922	3.9874911	2	1	-52255.235	76972.046	2798	5684.43	1	-1
41	464.57788	1.6173523	99.705315	43.40823	162477	2.3051028	2	1	-52146.391	77046.383	3743	5684.43	1	-1
42	620.15411	2.1253404	100.64893	52.445412	537041	3.3533204	2	1	-52196.217	76867.234	10240	5684.43	1	-1
43	386.36719	2.20505	82.672905	33.192692	262521	3.4951322	2	1	-52283.937	76986.72	7909	5684.43	1	-1
44	806.75299	2.0066511	134.74719	74.361282	960375.94	3.2068913	2	1	-52176.545	77070.57	12915	5684.43	1	-1
45	561.33679	2.4521378	100.4276	37.750122	234919.02	62.032944	2	1	-52163.967	76881.424	6223	5684.43	1	-1
46	476.49765	1.5286317	117.21051	46.676571	149225	12.854551	2	1	-52268.941	77084.599	3197	5684.43	1	-1
47	693.81659	1.8115595	142.47998	79.28624	1098828	208.32175	2	1	-52290.871	77059.928	13859	5684.43	1	-1
48	568.14996	1.728087	157.44667	77.724319	236826	15.373154	2	1	-52279.1	77042.351	3047	5684.43	1	-1
49	748.95422	2.2937681	215.5293	84.03434	1049925	4.3123097	2	1	-52148.326	77097.337	12494	5684.43	1	-1
50	610.18829	1.6636394	123.98547	74.569305	220576	5.1940498	2	1	-52165.58	77043.48	2958	5684.43	1	-1
51	708.27374	1.7669388	199.18263	105.76991	249617	3.3105931	2	1	-52242.012	76952.374	2360	5684.43	1	-1
