Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	97.936378	1.5808995	121.19086	29.58106	100901	3.1307535	1	1	-22390.065	38895.411	3411	5736.9	0	-1
1	168.05109	2.0432273	96.204849	31.185692	239319	3.0758405	2	1	-21449.269	38738.838	7674	5734.93	1	-1
2	141.48181	1.7433783	73.330589	55.031437	434143	3.4384587	2	1	-21624.548	38782.536	7889	5734.93	1	-1
3	203.43333	1.6469592	207.70412	41.270103	240192	3.9872851	4	1	-19701.191	38830.589	5820	5735.07	3	-1
4	388.84625	2.1149966	138.15981	75.614967	112137	5.5293326	4	1	-19565.257	38847.52	1483	5735.07	3	-1
5	346.9231	2.5176445	335.23569	47.276104	216430	4.7271733	4	1	-19574.932	38784.794	4578	5735.07	3	-1
6	357.87854	1.5720772	112.48418	56.568291	198385	5.3319077	4	1	-19617.341	38844.779	3507	5735.07	3	-1
7	314.53598	1.4889669	271.41168	77.922997	154833	5.4514341	4	1	-19789.072	38869.45	1987	5735.07	3	-1
8	272.93747	2.0456806	103.11469	46.246872	240345	7.6236291	4	1	-19667.651	38784.794	5197	5735.07	3	-1
9	225.92149	2.3229182	187.51663	56.047874	364087	4.0424876	4	1	-19659.75	38717.23	6496	5735.07	3	-1
10	342.77463	1.8276685	165.3918	48.1745	160951	4.7623467	6	1	-18075.341	38768.83	3341	5738.11	5	-1
11	229.18948	1.9196119	120.81331	40.052944	114992	4.1887846	6	1	-18008.906	38966.522	2871	5738.11	5	-1
12	485.48071	2.1448395	218.40065	110.3082	614527	6.4325972	6	1	-17952.307	38929.113	5571	5738.11	5	-1
13	442.75357	1.6741256	231.12993	115.73522	681449	7.1360393	6	1	-17970.045	38912.665	5888	5738.11	5	-1
14	260.92624	2.5722496	200.73012	65.574371	159149	4.7016892	6	1	-17823.791	38803.176	2427	5738.11	5	-1
15	287.44034	1.7977289	270.43927	69.388672	194774	6.149982	6	1	-17997.941	38723.68	2807	5738.11	5	-1
16	171.03842	1.9309426	145.50319	44.700932	182648	3.8803232	6	1	-17892.645	38740.128	4086	5738.11	5	-1
17	221.87662	2.6227528	267.68048	46.452976	161517	4.1535807	6	1	-17828.145	38771.41	3477	5738.11	5	-1
18	188.74866	1.5808762	168.93347	61.533939	366250	4.7639451	6	1	-17853.3	38908.956	5952	5738.11	5	-1
19	205.06551	2.2841449	152.13042	57.904968	384489	3.4724398	6	1	-17948.76	38701.911	6640	5738.11	5	-1
20	238.16235	1.4031008	155.686	82.230682	422419	4.4267082	8	1	-16195.684	38774.151	5137	5734.89	7	-1
21	278.36713	1.7391705	160.1355	115.44155	372299	3.7990699	8	1	-16092.645	38709.974	3225	5734.89	7	-1
22	190.55313	2.3447479	131.07487	75.295654	355019	5.1681867	8	1	-16228.74	38728.84	4715	5734.89	7	-1
