Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	244.73935	1.7694846	116.43153	47.973732	188105	4.4590664	2	1	-82653.288	38911.082	3921	5724	1	-1
1	226.98718	1.527262	114.73225	61.755875	520355	3.2050796	2	1	-82580.886	38851.259	8426	5724	1	-1
2	387.86588	1.657842	166.71678	56.094002	138440	5.3188815	2	1	-82718.432	38760.959	2468	5724	1	-1
3	501.15479	1.4022989	153.45915	59.701958	103762	5.3204832	2	1	-82735.686	38761.765	1738	5724	1	-1
4	250.02432	1.6346488	164.0173	38.294811	152758	3.7520683	2	1	-82683.119	38688.719	3989	5724	1	-1
5	265.18088	1.8484768	131.28784	52.684811	194565	3.8919578	2	1	-82735.041	38682.107	3693	5724	1	-1
6	229.78317	2.2799043	150.87842	35.962776	148778	4.3628235	2	1	-82675.701	38725.806	4137	5724	1	-1
7	387.49246	1.4317507	132.45024	72.064835	238966.98	3.965018	2	1	-82756.165	38877.704	3316	5724	1	-1
8	401.84464	1.4416413	136.53394	76.803185	270424	3.9284294	2	1	-82739.556	38868.996	3521	5724	1	-1
9	340.66315	1.5667486	135.39191	67.032219	407757	4.0782509	2	1	-82780.191	38803.368	6083	5724	1	-1
10	314.45593	2.546434	212.66138	32.917328	215806	3.5858755	2	1	-82555.409	38927.369	6556	5724	1	-1
11	212.17279	1.9591929	126.68386	47.390778	207619	3.8137412	4	1	-80848.773	38798.53	4381	5721.26	3	-1
12	225.28374	1.7568507	135.90482	39.616165	476939	116.94733	4	1	-80816.684	38859.321	12039	5721.26	3	-1
13	508.89597	1.5220739	135.10616	71.058327	135224	5.0825014	4	1	-81004.217	38681.14	1903	5721.26	3	-1
14	550.09113	1.5186246	142.91875	69.625656	119965.01	5.1915264	4	1	-81013.086	38674.206	1723	5721.26	3	-1
15	220.22438	2.1083225	140.67752	39.880707	365068	55.82729	4	1	-80990.511	38790.467	9154	5721.26	3	-1
16	373.83319	2.2909174	157.91739	46.251266	201008	5.8858719	4	1	-80943.104	38743.705	4346	5721.26	3	-1
17	298.30966	2.264864	91.845383	44.684528	537823	137.6086	4	1	-80872.96	38954.781	12036	5721.26	3	-1
18	211.57198	2.2284696	146.2654	23.570219	80728	2.9389782	4	1	-80830.068	38723.71	3425	5721.26	3	-1
19	171.29028	2.7097111	151.29568	13.870856	35981	3.6715498	4	1	-80847.805	38711.777	2594	5721.26	3	-1
20	219.38211	1.9441733	135.09167	22.500156	71663	2.8941915	4	1	-80807.815	38730.805	3185	5721.26	3	-1
21	338.67325	1.55216	194.33965	73.432335	387429	4.6956029	5	1	-79926.52	38925.595	5276	5720.49	4	-1
22	310.65472	1.7487395	137.97581	60.592152	285692	4.6559916	5	1	-79958.447	38748.22	4715	5720.49	4	-1
23	321.86816	1.7206056	96.248878	39.783176	230821.98	4.79283	5	1	-79895.238	38826.749	5802	5720.49	4	-1
24	350.81256	1.9178177	86.353134	52.907379	143379	4.4025831	5	1	-79982.474	38789.339	2710	5720.49	4	-1
25	284.68164	1.5974441	89.950958	38.17955	45930	3.1122193	5	1	-79976.508	38775.955	1203	5720.49	4	-1
26	311.50739	2.0066176	89.136429	66.197639	89764	4.0892329	5	1	-79970.702	38785.63	1356	5720.49	4	-1
27	182.44353	1.7085427	162.85861	44.058693	218443	5.2331586	6	1	-79101.34	38848.195	4958	5720.04	5	-1
28	276.62054	2.0875862	83.29261	47.142033	204125	3.3921478	6	1	-79083.764	38669.853	4330	5720.04	5	-1
29	455.93088	1.7244048	140.52295	79.510727	266838	5.6707392	6	1	-78995.721	38876.091	3356	5720.04	5	-1
30	220.25986	1.5584726	148.9082	30.828592	128956	3.6712885	6	1	-79030.39	38751.768	4183	5720.04	5	-1
31	308.76749	1.7281713	180.98175	54.468327	164222	5.0527363	6	1	-79200.186	38695.814	3015	5720.04	5	-1
32	214.31093	1.5419237	141.04382	39.507114	172172	3.2301514	6	1	-79202.283	38803.69	4358	5720.04	5	-1
33	318.44345	1.5865701	99.492447	49.551529	147614	3.7015777	8	1	-77296.18	38941.881	2979	5720.79	7	-1
34	396.07831	1.4788611	115.22227	51.352325	118059	4.0917792	8	1	-77351.327	38919.951	2299	5720.79	7	-1
35	460.27618	1.7360471	127.84093	52.475677	203868	4.0630631	8	1	-77151.216	38849.646	3885	5720.79	7	-1
36	373.13199	2.0329148	103.50401	49.508224	258829	2.9732211	8	1	-77292.31	38809.173	5228	5720.79	7	-1
37	282.5994	1.7325616	105.66195	48.634399	319528	3.9907153	8	1	-77310.048	38859.644	6570	5720.79	7	-1
38	156.92715	1.6687721	118.75513	27.154888	174443	2.8418431	8	1	-77415.344	38848.518	6424	5720.79	7	-1
39	496.79822	1.5302083	144.72888	59.509384	114139	4.6976018	8	1	-77222.811	38812.075	1918	5720.79	7	-1
40	167.97296	1.6340411	117.74912	28.408279	170194	3.3675513	8	1	-77390.189	38797.079	5991	5720.79	7	-1
41	563.0788	1.9146306	225.53088	86.855949	300869	6.793014	8	1	-77400.831	38726.613	3464	5720.79	7	-1
42	350.62958	1.4738739	90.198769	45.557281	126057	2.6946151	8	1	-77262.64	38844.809	2767	5720.79	7	-1
43	261.30743	1.8585097	114.35716	59.446308	202058	3.4792585	8	1	-77439.854	38805.141	3399	5720.79	7	-1
44	506.74557	1.5253342	196.54568	96.983665	860730	4.312789	8	1	-77260.705	38687.268	8875	5720.79	7	-1
45	317.82092	1.4917473	114.8937	53.124069	185403	5.2518625	8	1	-77195.238	38717.099	3490	5720.79	7	-1
46	364.95456	1.5570517	105.5424	56.057243	156680	4.0107336	8	1	-77215.071	38716.131	2795	5720.79	7	-1
47	261.93115	1.6030755	91.435432	52.998165	346396	68.56028	8	1	-77332.945	38965.424	6536	5720.79	7	-1
48	395.36322	2.6751418	134.625	66.280334	343067	3.4905331	8	1	-77222.005	38782.889	5176	5720.79	7	-1
49	334.87067	1.9268121	119.36747	47.244862	133325	4.1474133	8	1	-77255.867	38893.022	2822	5720.79	7	-1
50	464.80527	2.2395002	202.56372	60.2617	167407	3.8837292	8	1	-77211.524	38907.696	2778	5720.79	7	-1
51	501.81659	1.673192	121.30513	54.455238	99762	3.8706331	8	1	-77378.901	38876.736	1832	5720.79	7	-1
52	412.5397	1.651009	128.47461	66.868744	186965.02	4.3394136	8	1	-77379.224	38860.772	2796	5720.79	7	-1
53	420.13904	1.6302503	117.03197	67.703926	315568	4.1291571	8	1	-77161.214	38762.732	4661	5720.79	7	-1
