Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	430.03796	1.8276937	242.1188	73.926308	165521	6.3238053	1	1	-114044.77	38691.571	2239	5742.84	0	-1
1	341.78912	1.5266012	174.21361	58.561226	172170	4.9615645	1	1	-114141.52	38604.335	2940	5742.84	0	-1
2	256.26245	2.3346399	166.68352	57.928288	232640	4.1279879	1	1	-114041.71	38758.974	4016	5742.84	0	-1
3	406.49149	1.5547282	171.58968	48.548531	259589	4.065083	2	1	-113354.56	38890.393	5347	5741.38	1	-1
4	323.15851	1.8941438	91.174583	52.007	349123	3.6435275	2	1	-113263.13	38805.736	6713	5741.38	1	-1
5	395.1864	1.63904	264.53931	64.996788	202594.98	5.163619	2	1	-113210.57	38783.484	3117	5741.38	1	-1
6	384.73141	2.3557327	136.91522	62.731407	162788	5.9464355	2	1	-113461.63	38730.11	2595	5741.38	1	-1
7	437.77924	1.8553284	150.74059	67.049637	334980	5.4189353	2	1	-113312.31	38694.635	4996	5741.38	1	-1
8	402.26599	1.7748442	104.26654	61.14048	330770	4.5641403	2	1	-113337.95	38623.201	5410	5741.38	1	-1
9	393.44049	2.9821298	103.36448	43.940674	118508	4.7374859	2	1	-113344.24	38814.766	2697	5741.38	1	-1
10	466.03851	1.7234211	198.16188	80.134224	376711	5.7102742	2	1	-113251.52	38853.305	4701	5741.38	1	-1
11	495.48257	1.7287997	141.90845	84.728638	512693	8.5394154	2	1	-113135.42	38686.895	6051	5741.38	1	-1
12	248.80614	3.0429958	134.39749	55.617851	39878	5.5327754	2	1	-113123.17	38682.541	717	5741.38	1	-1
13	474.14148	1.543227	131.37865	60.702728	131300	5.6509476	3	1	-112552.92	38871.526	2163	5740.27	2	-1
14	514.03491	1.4953995	166.85126	66.841087	137960	5.645349	3	1	-112579.21	38848.306	2064	5740.27	2	-1
15	341.02515	1.9705144	201.26509	52.028301	165450	5.5845914	3	1	-112506.97	38825.731	3180	5740.27	2	-1
16	340.70996	1.8233974	163.47084	65.083145	201953	5.4250727	3	1	-112624.68	38787.676	3103	5740.27	2	-1
17	664.95349	1.5161142	150.65839	181.40102	394003	5.0451198	3	1	-112590.98	38669.964	2172	5740.27	2	-1
18	410.31314	1.9716178	165.3597	68.913429	349460	4.4018931	3	1	-112298.79	38766.875	5071	5740.27	2	-1
19	389.9231	2.6395136	100.96866	60.69207	354381	4.444768	3	1	-112328.95	38644.003	5839	5740.27	2	-1
20	262.73523	1.7526485	186.44456	36.940655	316840	3.7507286	3	1	-112265.58	38824.925	8577	5740.27	2	-1
21	274.42773	1.7009442	81.175179	46.988228	271451	3.7749698	3	1	-112227.52	38726.24	5777	5740.27	2	-1
22	398.95508	1.8575537	104.45551	62.012585	354774	4.56179	3	1	-112355.88	38633.521	5721	5740.27	2	-1
23	224.78004	1.7115018	110.18104	38.408085	178636	3.2689743	3	1	-112351.36	38878.621	4651	5740.27	2	-1
24	218.74333	2.0897003	111.39718	32.936367	154241	3.0348067	3	1	-112336.53	38895.875	4683	5740.27	2	-1
25	188.6579	5.1656977	144.02339	24.710526	8451	3.2134502	3	1	-112342.65	38887.006	342	5740.27	2	-1
26	555.25427	2.0198654	174.52283	67.381386	419246.97	3.7990999	4	1	-111387.35	38602.561	6222	5741.32	3	-1
