Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	311.7518	1.7581352	291.80731	93.402733	403780	5.1235251	2	1	-113719.54	77029.979	4323	5734.77	1	-1
1	377.04227	1.6953339	293.77777	73.942833	402249	5.3759193	2	1	-113648.27	76939.84	5440	5734.77	1	-1
2	406.95944	1.4953724	264.53925	66.719139	151319	3.6904762	2	1	-113669.23	76938.066	2268	5734.77	1	-1
3	219.51848	1.7857985	164.19659	53.510895	225923	3.5168166	2	1	-113743.57	76855.99	4222	5734.77	1	-1
4	223.02676	2.5791656	137.47765	55.436329	213319	3.950104	2	1	-113695.03	76809.227	3848	5734.77	1	-1
5	420.44589	2.1974619	200.07776	58.381096	567581	4.3324418	2	1	-113488.63	76839.704	9722	5734.77	1	-1
6	293.69507	1.4255024	180.95427	112.39605	324375	3.1309772	2	1	-113601.18	77017.401	2886	5734.77	1	-1
7	334.61835	1.57149	346.43152	61.049236	283940	5.5648246	2	1	-113529.27	77000.309	4651	5734.77	1	-1
8	214.80258	2.750193	67.477776	55.619896	215249	2.9387598	2	1	-113490.73	76954.675	3870	5734.77	1	-1
9	190.14162	1.7195836	122.8275	42.005222	193098	2.8203175	2	1	-113717.28	76864.214	4597	5734.77	1	-1
10	309.55411	1.4638114	232.76926	50.412682	151843	4.4017262	2	1	-113610.37	76797.295	3012	5734.77	1	-1
11	263.98563	2.3230274	87.637001	33.971897	101542	4.1806626	2	1	-113434.13	76945.806	2989	5734.77	1	-1
12	259.46585	2.837768	144.33032	36.786343	142216	4.7496119	3	1	-112875.49	77026.27	3866	5734.83	2	-1
13	390.73596	1.5946859	170.47556	55.48164	246283	4.7231359	3	1	-112786.32	76906.622	4439	5734.83	2	-1
14	353.63123	1.7549585	152.78285	55.131588	305429	4.0779781	3	1	-112767.62	77044.814	5540	5734.83	2	-1
15	220.77165	1.8929504	188.70866	11.850393	4515	3.7007873	3	1	-112624.91	77035.945	381	5734.83	2	-1
16	190.71794	1.5213178	149.11911	43.713871	225345	4.4199805	3	1	-112749.56	76967.253	5155	5734.83	2	-1
17	269.00436	1.8666495	223.86401	54.714909	212841	4.0557842	3	1	-112694.57	76894.045	3890	5734.83	2	-1
18	347.66428	1.8824017	164.35384	62.496906	596283	50.001888	3	1	-112647	76808.905	9541	5734.83	2	-1
19	313.65955	1.9034861	129.25969	38.06686	117855	4.3016796	3	1	-112845.5	76809.711	3096	5734.83	2	-1
20	259.29489	3.3084789	155.38786	46.498062	108015	4.6672406	3	1	-112603.79	76984.345	2323	5734.83	2	-1
21	187.50209	1.4722179	128.7852	45.132591	292053	3.4416628	4	1	-111936.96	76898.883	6471	5731.22	3	-1
