Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	341.54352	1.7928835	195.68777	69.655266	205692	4.2851338	1	1	-22497.521	77058.449	2953	5723.04	0	-1
1	856.2525	1.5664686	277.88815	41.997807	134057	6.8928571	1	1	-22547.186	77048.774	3192	5723.04	0	-1
2	347.66925	1.7147854	186.17166	70.069885	217567	5.6647344	1	1	-22556.861	77068.446	3105	5723.04	0	-1
3	400.16608	2.4633975	170.45204	52.376587	148540	5.3744712	2	1	-21520.121	77131.011	2836	5722.65	1	-1
4	458.41736	1.8889339	156.84935	84.990227	208736	4.4714985	2	1	-21661.215	77088.602	2456	5722.65	1	-1
5	298.34259	1.6720015	119.48075	57.452385	311909	3.1116228	2	1	-21635.415	76997.496	5429	5722.65	1	-1
6	180.34323	1.8210616	135.33635	45.418781	316796	2.2574911	2	1	-21645.574	76953.475	6975	5722.65	1	-1
7	470.87775	1.5839864	210.67726	81.649933	239071	4.2038937	2	1	-21565.755	77131.818	2928	5722.65	1	-1
8	506.17743	1.6870612	137.94339	81.493172	405998.97	4.9470091	2	1	-21698.141	77111.822	4982	5722.65	1	-1
9	283.90933	1.6568436	158.54578	54.440887	306230	121.29938	2	1	-21760.384	77077.799	5625	5722.65	1	-1
10	238.88647	1.6175946	113.48985	49.272141	274298	3.9597628	2	1	-21664.601	77063.609	5567	5722.65	1	-1
11	271.64236	1.5002205	100.12763	59.543098	268718	3.2971416	2	1	-21562.208	77055.385	4513	5722.65	1	-1
12	316.61691	1.6510232	123.46453	54.296268	352057	3.4703887	2	1	-21733.616	77016.201	6484	5722.65	1	-1
13	656.37457	1.8018464	286.98746	124.06792	376298	297.40488	2	1	-21579.139	76997.98	3033	5722.65	1	-1
14	515.3371	1.7118169	250.5554	100.28612	214512	6.5236092	2	1	-21692.659	76989.917	2139	5722.65	1	-1
15	442.72873	1.6896004	240.14993	91.263046	344518	5.1218543	2	1	-21580.751	76959.119	3775	5722.65	1	-1
16	446.85583	1.8001435	170.82796	74.593628	205953	4.3716044	2	1	-21739.099	76937.673	2761	5722.65	1	-1
17	625.99939	1.7299825	342.25961	76.59137	129516.01	6.9674749	2	1	-21661.86	76878.171	1691	5722.65	1	-1
18	594.65417	2.1954459	217.39813	62.322796	159671	5.9882903	2	1	-21676.695	76873.656	2562	5722.65	1	-1
19	254.03972	1.9253085	159.47313	60.385757	653857	82.599281	2	1	-21633.48	77150.361	10828	5722.65	1	-1
20	374.53809	2.0419708	168.81221	56.754856	184056	4.7884674	2	1	-21723.941	76897.521	3243	5722.65	1	-1
21	343.05258	1.9398878	153.04132	46.475719	173215	10.285216	2	1	-21585.589	77021.361	3727	5722.65	1	-1
22	257.65469	1.7822059	147.75201	41.74287	191725	3.5192685	2	1	-21510.446	77051.837	4593	5722.65	1	-1
23	299.12476	2.6126176	161.61047	51.558983	182261	3.8970296	2	1	-21535.924	76973.47	3535	5722.65	1	-1
24	487.09259	1.5318401	240.31967	72.680779	164840	4.8580246	3	1	-20754.765	77073.284	2268	5726.63	2	-1
25	382.01279	1.612715	172.28178	97.65284	649782	4.0614667	3	1	-20642.374	77079.089	6654	5726.63	2	-1
26	562.31628	1.8587818	223.13313	109.72389	401370	4.9461455	3	1	-20692.522	76886.556	3658	5726.63	2	-1
27	797.18707	1.5850422	126.70066	41.774895	69221	5.4351239	3	1	-20855.062	77103.76	1657	5726.63	2	-1
28	688.42682	2.2623398	210.89467	64.461014	235605	4.767168	3	1	-20855.546	77079.895	3655	5726.63	2	-1
29	512.91742	2.2093209	147.63661	52.806141	264770	4.7971678	3	1	-20892.472	77024.425	5014	5726.63	2	-1
30	374.80615	1.6132374	162.65324	65.887344	374899	4.6620388	3	1	-20713.324	77024.909	5690	5726.63	2	-1
31	462.6123	1.8557341	194.76408	99.422821	271822	5.257864	3	1	-20620.283	77010.396	2734	5726.63	2	-1
32	528.56036	2.7861579	217.14893	96.673927	434936	5.7034898	3	1	-20747.025	76904.777	4499	5726.63	2	-1
33	446.93307	1.8076662	511.34222	32.755123	95907	5.3565574	3	1	-20713.162	76897.844	2928	5726.63	2	-1
34	393.77148	1.8002513	106.96767	39.275532	53454	3.3975019	3	1	-20747.025	76932.512	1361	5726.63	2	-1
35	575.62994	2.529382	87.298653	20.534161	39672	3.0885093	3	1	-20741.704	76950.572	1932	5726.63	2	-1
36	321.71213	2.0973751	123.42339	44.269264	49980	3.6554472	3	1	-20727.191	76945.896	1129	5726.63	2	-1
37	316.22397	1.8655755	112.95747	59.247646	220105	4.5020189	4	1	-19761.24	77116.015	3715	5727.46	3	-1
38	402.97894	1.5214331	406.49481	39.352882	121442.99	5.0586519	4	1	-19795.909	77075.864	3086	5727.46	3	-1
39	411.74426	1.9239032	154.66255	66.965164	422885	3.8620744	4	1	-19741.729	77039.421	6315	5727.46	3	-1
40	464.91577	1.6474201	116.36641	77.777145	315853	67.689484	4	1	-19857.022	77118.756	4061	5727.46	3	-1
41	567.38556	1.6925388	122.62394	63.120182	126051	5.9739609	4	1	-19955.062	77077.315	1997	5727.46	3	-1
42	233.62852	2.4593668	125.3176	27.930119	137891	3.2959287	4	1	-19826.708	76978.307	4937	5727.46	3	-1
43	263.23236	2.4092153	127.97848	37.487865	163747	3.6904762	4	1	-19825.256	76884.621	4368	5727.46	3	-1
44	408.86719	1.5406716	180.38383	77.745232	207813	4.9158249	4	1	-19923.296	76908.486	2673	5727.46	3	-1
45	493.78909	1.9881797	204.95641	105.50474	222615	4.7090049	4	1	-20068.583	77020.071	2110	5727.46	3	-1
46	403.65216	3.1417738	141.79048	75.356949	223358	4.5047235	4	1	-19916.846	76987.982	2964	5727.46	3	-1
47	635.1651	1.6434211	195.27548	82.468529	313133	4.849618	5	1	-18978.791	77126.174	3797	5726.83	4	-1
48	309.73032	1.7579957	207.17998	59.619225	223274	3.8974633	5	1	-18859.95	77122.304	3745	5726.83	4	-1
49	659.01874	1.5357733	226.08476	106.08448	385511	5.0432029	5	1	-19047.484	77122.465	3634	5726.83	4	-1
50	347.71793	1.623317	181.51669	70.887901	231449	4.1415009	5	1	-18925.417	77056.03	3265	5726.83	4	-1
51	554.98322	1.5891174	303.22656	77.163368	179482	7.7153912	5	1	-18902.036	77054.095	2326	5726.83	4	-1
52	490.0701	1.6313978	180.52	54.956989	127775	4.1105375	5	1	-19094.246	77053.128	2325	5726.83	4	-1
53	494.3616	1.5002047	215.93652	58.423016	142669	3.7760034	5	1	-18971.374	77046.516	2442	5726.83	4	-1
54	360.76172	2.2418546	159.12357	59.260548	375060	6.8873439	5	1	-19053.934	77027.65	6329	5726.83	4	-1
55	523.59326	1.942103	178.15689	83.86911	393430	5.2781925	5	1	-18963.311	77013.621	4691	5726.83	4	-1
56	316.76947	1.5828845	172.01949	58.683754	195769	4.2113309	5	1	-19087.958	77007.494	3336	5726.83	4	-1
57	642.9115	1.6349844	237.72867	29.571558	65501	6.3435664	5	1	-18886.395	77047.322	2215	5726.83	4	-1
58	152.04477	2.4007625	139.12544	56.858837	499050	3.2311723	5	1	-18995.884	76941.381	8777	5726.83	4	-1
59	123.88511	2.7167019	49.811703	15.357447	14436	3.9361701	5	1	-18836.085	77083.765	940	5726.83	4	-1
60	100.79058	1.7285714	53.440258	13.154176	30715	3.9344754	5	1	-18841.245	77092.795	2335	5726.83	4	-1
61	69.74736	2.6410483	25.115465	10.021104	33240	3.1866145	5	1	-18810.446	77094.085	3317	5726.83	4	-1
62	328.17416	2.2623271	183.7244	76.559509	535840	4.9464211	6	1	-18186.184	77054.579	6999	5725.44	5	-1
63	418.68341	2.3003842	287.31693	76.216797	216913	5.5474348	6	1	-17932.054	77053.773	2846	5725.44	5	-1
64	411.02823	1.6692662	144.26451	94.383003	1107207	5.8675303	6	1	-18039.285	77018.136	11731	5725.44	5	-1
65	553.3573	1.9271204	194.00586	70.357033	276081	5.1946993	6	1	-17925.926	76981.049	3924	5725.44	5	-1
66	305.11761	1.7568761	177.03368	72.109253	552429	4.5009789	6	1	-18020.257	77139.719	7661	5725.44	5	-1
67	322.77322	1.7950385	156.79254	49.029682	487306	4.2206459	7	1	-17310.533	77043.13	9939	5724.81	6	-1
68	383.06644	2.0252252	150.44807	83.093315	228838.98	7.3260713	7	1	-17194.755	77042.807	2754	5724.81	6	-1
69	286.13672	1.7980263	112.49498	35.990311	501489	2.9045501	7	1	-17115.42	77061.029	13934	5724.81	6	-1
70	310.11313	1.9708464	98.772514	39.770729	222557	2.9660473	7	1	-17146.219	77040.389	5596	5724.81	6	-1
71	143.82527	1.9027336	118.42618	24.338491	37749	2.8420374	7	1	-17152.83	77087.312	1551	5724.81	6	-1
72	169.46426	2.1939225	118.61252	44.320095	184150	2.9737666	7	1	-17152.024	77072.316	4155	5724.81	6	-1
73	116.0654	2.1409922	110.30281	16.368868	25027.998	2.7985611	7	1	-17145.896	77100.212	1529	5724.81	6	-1
74	107.43679	1.6137866	107.27458	19.652	74147	2.5459847	7	1	-17132.674	77097.471	3773	5724.81	6	-1
