Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	349.43015	1.5146216	223.82782	85.682632	282667	5.6001821	1	1	-52885.096	38939.762	3299	5718.84	0	-1
1	437.40262	1.5080863	190.99274	62.891056	138549	4.2328644	1	1	-53045.701	38895.419	2203	5718.84	0	-1
2	540.68585	1.4495744	168.50142	88.763733	344137	5.5571318	1	1	-52983.942	38991.04	3877	5718.84	0	-1
3	557.78137	1.8489011	210.40213	80.981071	265213	5.2189312	1	1	-53049.732	38823.501	3275	5718.84	0	-1
4	298.14752	1.7804952	155.91505	58.03265	191972	3.8663845	1	1	-52932.342	38819.954	3308	5718.84	0	-1
5	291.37805	1.4596901	194.85211	72.375786	321059	50.147205	1	1	-53024.255	38776.9	4436	5718.84	0	-1
6	273.48907	1.7387999	135.49727	48.465847	177385	3.0745902	1	1	-52916.863	39008.132	3660	5718.84	0	-1
7	510.5972	1.972741	231.92004	124.86258	488837	5.9213281	1	1	-53110.363	38905.255	3915	5718.84	0	-1
8	483.03406	1.8613803	156.59247	40.230938	202080	3.7290463	2	1	-52010.574	38920.251	5023	5718.9	1	-1
9	451.8186	1.5754964	165.81219	61.692886	163918	5.4042153	2	1	-52103.776	38837.369	2657	5718.9	1	-1
10	474.49979	1.8233881	142.35699	47.107903	117440	4.4039311	2	1	-52048.951	38808.021	2493	5718.9	1	-1
11	376.86688	2.0793109	105.4249	49.644669	305414	3.8025033	2	1	-52136.349	38798.346	6152	5718.9	1	-1
12	489.62259	2.8624816	135.32359	52.399075	249210	4.9829688	2	1	-52188.916	38730.137	4756	5718.9	1	-1
13	663.97284	1.4320794	181.72832	78.269592	149808	4.6175547	2	1	-51934.948	39005.391	1914	5718.9	1	-1
14	569.45953	2.0348691	206.00827	68.651375	498203.03	4.9501171	2	1	-51936.882	38977.011	7257	5718.9	1	-1
15	532.94476	1.735046	199.31914	65.462982	170662	6.67664	2	1	-52123.449	38969.11	2607	5718.9	1	-1
16	598.22235	1.6974299	92.271942	48.421017	206903	4.745378	2	1	-52084.426	38888.485	4273	5718.9	1	-1
17	517.55652	2.0447886	248.9503	36.569511	174400	4.2543511	2	1	-52061.368	38778.029	4769	5718.9	1	-1
18	452.00507	1.7823572	112.69089	51.775127	143210	3.7801881	2	1	-51862.062	38776.577	2766	5718.9	1	-1
19	297.2457	1.7262926	122.13183	39.697739	161411	3.7722578	2	1	-51973.97	38758.84	4066	5718.9	1	-1
20	476.08331	2.0981619	133.06493	60.615566	154994	4.6339459	2	1	-51883.025	38758.84	2557	5718.9	1	-1
21	423.92303	1.5196995	189.77321	78.437103	424030.97	4.0886054	2	1	-52005.736	39008.294	5406	5718.9	1	-1
22	256.23264	1.7584493	124.25579	32.757301	32528	4.8710976	2	1	-52000.738	38970.884	993	5718.9	1	-1
23	438.65991	1.7867376	127.35021	53.875107	127684	4.11519	2	1	-51987.354	38966.207	2370	5718.9	1	-1
24	518.91046	1.6800184	108.0591	54.512005	118073	4.3471837	2	1	-51975.26	38836.885	2166	5718.9	1	-1
25	639.54895	1.6759346	220.23256	60.546604	258534	4.9519906	2	1	-51882.38	38827.049	4270	5718.9	1	-1
26	276.2562	1.8417874	137.16353	54.240196	399696	3.9287555	2	1	-51917.371	38873.005	7369	5718.9	1	-1
27	157.89029	1.4546235	153.54337	39.243824	136647	3.2360711	2	1	-51895.119	38886.389	3482	5718.9	1	-1
28	271.14423	4.6285639	151.97878	37.118328	118890.01	3.8685608	2	1	-51909.954	38847.205	3203	5718.9	1	-1
29	299.68134	2.8441467	144.26544	55.075134	288814	3.6127002	2	1	-51902.052	38837.853	5244	5718.9	1	-1
30	323.8981	2.3607663	124.35328	41.454918	151725	3.9868853	3	1	-51082.839	38996.2	3660	5718.76	2	-1
31	641.95142	1.4566187	207.72818	77.302582	155842	5.7872024	3	1	-51224.739	38821.405	2016	5718.76	2	-1
32	252.3429	2.673853	92.577133	35.651215	333018	4.1387434	3	1	-51065.746	38951.05	9341	5718.76	2	-1
33	404.26938	1.6504854	138.88992	61.417633	328093	4.0965929	3	1	-50996.731	38922.348	5342	5718.76	2	-1
34	284.64908	1.4384444	132.62439	40.751225	183136	2.4902091	3	1	-50958.192	38889.614	4494	5718.76	2	-1
35	555.81561	1.8165939	222.08563	57.270859	131093	4.6133685	3	1	-51302.622	38887.195	2289	5718.76	2	-1
36	272.87836	1.7980905	133.42792	47.18248	266062	21.132116	3	1	-51033.012	38868.49	5639	5718.76	2	-1
37	429.42148	3.6719106	129.61777	52.313129	227875.98	3.7747934	3	1	-51087.515	38863.814	4356	5718.76	2	-1
38	435.12656	1.7724321	213.82716	47.637611	159586	4.522388	3	1	-51200.067	38843.174	3350	5718.76	2	-1
39	530.5462	1.3781921	143.38118	48.406731	119371	5.1861315	3	1	-51103.801	38705.95	2466	5718.76	2	-1
40	469.15057	1.7873188	171.85776	50.558781	139340	4.0050797	3	1	-51295.205	38752.39	2756	5718.76	2	-1
41	344.89252	1.8199894	75.456657	38.240063	143362	3.9413178	3	1	-51161.851	38944.6	3749	5718.76	2	-1
42	515.44269	2.1857143	226.98096	61.78117	171937	4.7887173	3	1	-50942.067	38866.232	2783	5718.76	2	-1
43	448.96143	2.9739994	121.47835	61.486946	414545	4.0781665	3	1	-51231.673	38960.886	6742	5718.76	2	-1
44	527.84961	1.5984405	136.25653	47.27702	242342	3.1941085	4	1	-50111.082	38982.655	5126	5721.39	3	-1
45	416.5661	1.4171297	89.44931	48.530769	355682	3.4722335	4	1	-50221.539	38997.329	7329	5721.39	3	-1
46	698.19653	1.4713162	178.67877	59.655098	513869	3.7699094	4	1	-50062.707	38896.548	8614	5721.39	3	-1
47	868.06683	1.5790461	119.92777	49.500835	414619	4.1753821	4	1	-50224.603	38856.558	8376	5721.39	3	-1
48	470.72943	1.6398819	134.30547	56.520081	171708	4.6556945	4	1	-50057.386	38835.272	3038	5721.39	3	-1
49	585.84772	1.7574875	188.04744	65.271744	156848	4.6179776	4	1	-50430.035	38707.079	2403	5721.39	3	-1
50	381.17395	1.3894411	157.88876	51.221581	231163	3.9782848	4	1	-50075.446	38787.704	4513	5721.39	3	-1
51	509.64951	1.718125	121.4487	52.482899	167263	4.5716977	4	1	-50168.004	38856.719	3187	5721.39	3	-1
52	375.88885	1.5434067	101.93774	61.333935	238405	2.8633907	4	1	-50287.974	38797.056	3887	5721.39	3	-1
53	630.66724	2.1320297	89.075829	254.59175	1591453	12.094225	4	1	-50239.115	38924.605	6251	5721.39	3	-1
54	363.85278	1.9179565	85.662743	181.2632	1400077	12.447696	4	1	-50305.872	38848.011	7724	5721.39	3	-1
55	361.20239	4.2590883	59.737682	163.37683	245392	7.4034619	4	1	-50270.236	38910.254	1502	5721.39	3	-1
56	300.91025	2.4100859	91.92807	160.56287	549125	11.617836	4	1	-50336.51	38889.291	3420	5721.39	3	-1
57	103.33628	2.5315789	56.565235	30.570286	72635	3.6338384	4	1	-50340.058	38833.499	2376	5721.39	3	-1
58	283.01434	4.5717407	65.605576	116.02009	282973	8.9524393	4	1	-50253.628	38888.485	2439	5721.39	3	-1
59	747.76215	2.2892853	127.95528	254.53125	2174206	13.063451	4	1	-50279.427	38928.475	8542	5721.39	3	-1
60	397.44733	2.1877214	58.008892	189.70314	277346	10.007524	4	1	-50303.776	38905.255	1462	5721.39	3	-1
61	276.99982	2.6196217	66.521095	152.93497	783027	9.7023439	4	1	-50330.705	38849.946	5120	5721.39	3	-1
62	247.57629	3.4687383	41.440956	99.444939	224845	5.1707211	4	1	-50275.88	38866.555	2261	5721.39	3	-1
63	252.18538	2.5667244	41.4795	100.14082	56179	5.7967916	4	1	-50285.394	38852.365	561	5721.39	3	-1
64	559.19708	1.8312645	148.7869	55.736298	264413	4.234612	5	1	-49497.624	38988.299	4744	5719.77	4	-1
65	1325.7426	1.6613563	179.17563	61.842899	270439	4.357192	5	1	-49265.908	38984.912	4373	5719.77	4	-1
66	839.94806	1.4730476	136.56335	58.468185	220542	3.1903501	5	1	-49275.099	38969.271	3772	5719.77	4	-1
67	664.28131	1.8876667	185.69714	74.844818	319288	4.8288794	5	1	-49232.529	38982.332	4266	5719.77	4	-1
68	429.90192	1.457729	125.4836	38.58773	108199.99	3.7439373	5	1	-49227.207	38884.937	2804	5719.77	4	-1
69	584.95801	1.5569892	226.26265	64.68325	149482.98	5.9766335	5	1	-49299.77	38872.521	2311	5719.77	4	-1
70	490.14099	2.2541757	134.44623	48.340843	133034	4.395349	5	1	-49254.781	38838.659	2752	5719.77	4	-1
71	520.18597	2.3451786	163.56999	52.301624	270504	4.547564	5	1	-49158.354	38964.756	5172	5719.77	4	-1
72	775.14197	1.5218385	274.7084	122.39059	480995	5.0081425	5	1	-49248.976	38955.404	3930	5719.77	4	-1
73	568.33868	1.72052	200.19749	65.239128	280463	5.5557108	5	1	-49419.579	38950.889	4299	5719.77	4	-1
74	375.90613	2.429144	137.97934	63.232079	208160	3.8794045	5	1	-49187.54	38939.44	3292	5719.77	4	-1
75	544.99878	1.6841013	181.46741	54.327106	130874	4.8244085	5	1	-49325.731	38852.043	2409	5719.77	4	-1
76	593.78491	1.6551885	249.20438	77.236961	165905	10.674581	5	1	-49463.761	38836.24	2148	5719.77	4	-1
77	644.76575	1.5206961	186.65993	58.708843	124815	5.689558	5	1	-49288.966	38833.499	2126	5719.77	4	-1
78	260.9462	1.8148407	139.78055	48.160034	274753	3.999474	5	1	-49357.981	38716.592	5705	5719.77	4	-1
79	335.53378	1.573741	157.38312	52.920269	204431	4.5047889	5	1	-49352.821	38786.091	3863	5719.77	4	-1
80	300.91534	1.924812	80.64418	41.409649	185391	3.6305561	5	1	-49331.698	38957.5	4477	5719.77	4	-1
81	688.21893	1.6056688	140.31041	76.06572	150458	3.6420627	5	1	-49204.31	38801.088	1978	5719.77	4	-1
82	561.36566	1.7281553	141.2121	71.619011	182342	3.9238021	5	1	-49188.024	38796.411	2546	5719.77	4	-1
83	456.647	1.9035976	147.72003	54.101456	308216	3.7475865	5	1	-49425.706	38892.839	5697	5719.77	4	-1
84	318.81622	1.88167	119.7861	49.124912	415695	3.5077996	5	1	-49168.029	38881.713	8462	5719.77	4	-1
85	373.6225	1.7728105	124.24928	55.689846	405255	3.1467638	5	1	-49372.171	38926.701	7277	5719.77	4	-1
86	390.16595	1.4484579	95.171013	48.292122	172258	3.8242221	5	1	-49457.634	38965.401	3567	5719.77	4	-1
