Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	280.51425	1.6524419	178.32076	65.716522	276798	4.105413	2	1	-21370.851	39056.551	4212	5739.59	1	-1
1	430.95822	1.8693767	177.29137	74.848618	275892	4.7826915	2	1	-21321.509	39009.789	3686	5739.59	1	-1
2	369.3367	1.6811594	155.532	78.233315	286021	5.2592998	2	1	-21211.375	38958.35	3656	5739.59	1	-1
3	333.53381	1.6626826	181.32045	76.644661	285578	4.5587764	2	1	-21322.315	38778.234	3726	5739.59	1	-1
4	341.47998	2.1117502	142.56912	54.023937	130900	4.3916631	2	1	-21474.696	38988.342	2423	5739.59	1	-1
5	404.97388	1.6236583	116.50735	53.366791	242979	3.7001977	2	1	-21459.7	38877.241	4553	5739.59	1	-1
6	437.83398	1.5874229	114.20436	49.971985	169455	4.0106163	2	1	-21460.99	38856.601	3391	5739.59	1	-1
7	293.60696	1.6005568	149.94591	69.924294	423951	3.9374897	2	1	-21250.397	38860.632	6063	5739.59	1	-1
8	346.87952	2.4301676	256.79819	61.531124	61285	4.4638553	2	1	-21293.451	39060.744	996	5739.59	1	-1
9	379.95532	2.0196998	276.88834	69.259895	68221	4.8101521	2	1	-21282.486	39061.066	985	5739.59	1	-1
10	491.59311	1.4949495	126.76471	73.068558	180114	5.5062881	3	1	-20521.967	39049.295	2465	5739.46	2	-1
11	409.04507	2.0815194	103.51181	53.046371	123545	5.5925288	3	1	-20460.048	39020.592	2329	5739.46	2	-1
12	223.25414	1.6291153	107.11434	27.79772	177961	3.5685723	3	1	-20380.39	39011.401	6402	5739.46	2	-1
13	472.92261	1.8924756	139.46999	68.893631	301823	4.8929467	3	1	-20351.042	38936.259	4381	5739.46	2	-1
14	472.7627	1.637688	229.03008	55.939381	119039	5.1306391	3	1	-20525.031	38929.97	2128	5739.46	2	-1
15	409.39801	1.7967868	134.02087	56.751198	130471	5.0778599	3	1	-20413.446	38922.714	2299	5739.46	2	-1
16	458.03958	2.0302739	242.15782	117.21477	242869	7.275579	3	1	-20326.855	38912.394	2072	5739.46	2	-1
17	308.37729	1.4848403	341.37921	45.520584	168062	3.9804983	3	1	-20564.537	38889.98	3692	5739.46	2	-1
18	462.61389	1.4807418	287.78174	102.90727	216414	6.5168805	3	1	-20561.474	38824.512	2103	5739.46	2	-1
