Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	233.01843	1.814543	137.77472	56.254108	167806	4.4867582	2	1	-113440.03	38750.874	2983	5739.37	1	-1
1	255.84169	2.0393939	149.30861	53.611855	140195	3.9705546	2	1	-113592.73	38638.644	2615	5739.37	1	-1
2	292.60748	1.6424079	136.0045	57.328526	127212	4.0892296	2	1	-113460.02	38576.724	2219	5739.37	1	-1
3	250.34454	2.0356049	140.62784	47.874977	246221	3.5527902	2	1	-113553.87	38795.863	5143	5739.37	1	-1
4	269.63477	1.5493428	195.7374	58.061928	292516	4.0893211	2	1	-113377.62	38712.174	5038	5739.37	1	-1
5	262.16382	2.3022901	196.44044	57.765732	145974	5.6125841	2	1	-113509.21	38599.621	2527	5739.37	1	-1
6	225.11185	2.9894851	108.18259	25.310369	68338	3.8751853	2	1	-113308.77	38684.439	2700	5739.37	1	-1
7	212.97807	1.5471326	155.25702	52.334602	288730	3.4852276	2	1	-113528.88	38772.32	5517	5739.37	1	-1
8	261.85806	1.9439062	169.22374	57.509762	108981	4.812665	2	1	-113563.71	38610.586	1895	5739.37	1	-1
9	294.48987	2.2157113	193.7283	71.613983	314457	4.6483717	2	1	-113416	38836.659	4391	5739.37	1	-1
10	197.1208	2.5962963	148.41466	32.765392	42038	3.2681215	2	1	-113658.68	38799.249	1283	5739.37	1	-1
11	182.82945	1.574157	137.65987	40.463661	168693	3.5919886	2	1	-113665.13	38780.866	4169	5739.37	1	-1
12	238.19673	1.5855063	139.25562	49.568756	145633	3.719537	3	1	-112726.76	38855.364	2938	5737.82	2	-1
13	145.20946	1.6247036	104.50169	21.648005	109041	3.1550527	3	1	-112509.87	38717.495	5037	5737.82	2	-1
14	199.27666	1.6671188	123.35528	44.745918	164486	4.1433625	3	1	-112598.08	38756.84	3676	5737.82	2	-1
15	278.62079	1.3930387	154.99333	42.227451	107680	4.0345097	3	1	-112588.24	38635.902	2550	5737.82	2	-1
16	237.14377	1.951136	116.88099	50.721043	159822	4.0044432	3	1	-112670.96	38725.074	3151	5737.82	2	-1
17	245.85519	1.8794788	126.61784	61.357857	184319	4.1468043	3	1	-112653.55	38716.205	3004	5737.82	2	-1
18	210.73416	1.7691454	122.86483	44.399887	157664	3.6234863	3	1	-112537.29	38826.984	3551	5737.82	2	-1
19	147.47514	1.5380026	175.87958	28.130857	196916	3.1797142	3	1	-112744.65	38801.184	7000	5737.82	2	-1
20	160.86023	1.5221101	161.29543	34.232994	239049	3.6956894	3	1	-112512.29	38773.449	6983	5737.82	2	-1
21	423.9599	1.5390287	277.53259	175.48836	678438	6.6810656	3	1	-112644.36	38674.603	3866	5737.82	2	-1
22	169.2012	3.647331	119.4398	37.834576	208355.02	16.118214	3	1	-112680.64	38830.854	5507	5737.82	2	-1
23	119.03573	1.5523096	159.06467	30.633116	121736	3.315551	3	1	-112485.53	38626.872	3974	5737.82	2	-1
24	121.05469	2.1113427	114.39033	76.794174	255571.02	3.6165864	3	1	-112695.31	38648.158	3328	5737.82	2	-1
25	374.54099	1.6449198	186.33873	68.69957	127369	6.2357068	4	1	-111689.69	38874.23	1854	5738.89	3	-1
26	419.06897	1.6523728	169.77644	97.043106	168855	6.1856322	4	1	-111613.74	38852.945	1740	5738.89	3	-1
27	162.18491	1.6261823	113.07349	39.614136	182740.02	2.9887276	4	1	-111660.83	38723.945	4613	5738.89	3	-1
28	297.40878	1.6793454	150.94008	51.368397	115733	5.8424325	4	1	-111699.37	38776.512	2253	5738.89	3	-1
29	196.49197	1.9500246	109.33177	52.129597	211177	4.1276226	4	1	-111520.87	38740.393	4051	5738.89	3	-1
30	280.27557	1.935241	137.3775	50.42733	133582	4.7893543	4	1	-111744.36	38677.989	2649	5738.89	3	-1
31	346.36108	1.6197244	226.36502	66.44178	152351	4.9014392	4	1	-111523.28	38648.48	2293	5738.89	3	-1
32	284.65375	2.0036765	130.56944	57.508469	152800	3.9518254	4	1	-111798.21	38746.842	2657	5738.89	3	-1
33	229.66968	2.1851541	128.28801	54.35289	192681	5.0296192	4	1	-111651.15	38863.104	3545	5738.89	3	-1
34	274.79526	1.7093561	172.55037	46.62352	130033	4.8461814	4	1	-111622.77	38603.652	2789	5738.89	3	-1
35	350.59167	1.7580207	94.02327	45.081165	162743	7.7177286	4	1	-111539.57	38713.464	3610	5738.89	3	-1
36	352.18655	1.7428834	229.1073	78.463028	162340	5.548574	4	1	-111671.47	38876.326	2069	5738.89	3	-1
37	294.08463	1.5930972	178.38316	60.691811	131944	5.848206	4	1	-111633.1	38623.647	2174	5738.89	3	-1
38	481.79288	1.9096113	123.83638	109.24086	346512	4.9568095	4	1	-111555.05	38674.28	3172	5738.89	3	-1
39	395.30432	1.8899676	282.39066	80.62326	115775	4.9909472	4	1	-111526.02	38672.829	1436	5738.89	3	-1
40	552.73853	1.6454664	180.23026	94.666557	285325	3.9880557	4	1	-111539.89	38666.379	3014	5738.89	3	-1
41	259.85626	1.5290878	169.39522	42.87669	123785	3.8905437	4	1	-111651.64	38779.254	2887	5738.89	3	-1
42	265.20801	1.4511464	129.16797	44.080795	124396.01	3.8557761	4	1	-111529.57	38795.863	2822	5738.89	3	-1
43	474.95966	1.8389298	184.90422	85.27552	310744	5.760428	4	1	-111596.98	38861.975	3644	5738.89	3	-1
44	182.47191	1.8080119	127.32001	41.434734	193955.98	3.4285409	4	1	-111777.57	38796.346	4681	5738.89	3	-1
45	331.22644	1.7123936	114.57259	69.821945	350576	4.4640508	4	1	-111809.82	38670.088	5021	5738.89	3	-1
46	384.55826	1.5971121	238.83112	69.890572	295078	5.3742304	4	1	-111585.69	38691.211	4222	5738.89	3	-1
47	293.16129	1.4163139	134.49113	49.588493	170634	4.8111014	4	1	-111663.73	38604.62	3441	5738.89	3	-1
48	201.76344	1.8935834	126.95039	63.147221	274943	3.863344	4	1	-111726.14	38593.978	4354	5738.89	3	-1
49	217.33205	1.8829849	128.15681	83.779327	282085	2.9768341	4	1	-111701.79	38586.721	3367	5738.89	3	-1
50	148.83246	1.7709146	112.54295	29.537489	172942	3.1682322	4	1	-111657.6	38658.8	5855	5738.89	3	-1
51	190.44408	1.5967366	110.02672	52.954597	223945	4.8581223	4	1	-111715.17	38828.596	4229	5738.89	3	-1
52	146.18649	1.8544533	95.96048	44.917683	246643	3.2016027	4	1	-111600.85	38799.249	5491	5738.89	3	-1
53	392.3136	2.2851563	135.11707	75.508461	321213	4.0860367	4	1	-111724.2	38732.652	4254	5738.89	3	-1
54	384.0481	1.7879319	139.69847	79.246803	309855	4.757545	4	1	-111730.17	38710.561	3910	5738.89	3	-1
55	570.91797	1.5168148	223.64003	81.074455	460583.97	7.3694773	4	1	-111573.11	38857.46	5681	5738.89	3	-1
56	199.86217	1.8240102	110.19698	48.370766	185647	3.7410109	4	1	-111746.13	38766.838	3838	5738.89	3	-1
57	163.26727	1.9676409	91.017693	34.214405	162450	3.8967986	4	1	-111577.79	38732.169	4748	5738.89	3	-1
58	254.02623	1.9536617	131.89305	59.770809	355457	3.3574913	4	1	-111722.27	38645.255	5947	5738.89	3	-1
59	144.34401	1.9440778	103.73782	28.090811	156213	2.4411077	4	1	-111595.85	38620.261	5561	5738.89	3	-1
60	232.52707	2.076782	172.30891	61.391453	231323	4.7906051	4	1	-111512.32	38685.89	3768	5738.89	3	-1
61	283.22159	1.8530138	137.93239	76.940102	299297	6.2894602	4	1	-111788.86	38648.802	3890	5738.89	3	-1
62	267.42389	2.5857667	122.67516	49.957859	284510	4.4117646	5	1	-110950.3	38670.088	5695	5737.72	4	-1
63	223.70541	1.4010906	171.75746	49.638466	163112	4.1107731	5	1	-110738.9	38596.719	3286	5737.72	4	-1
64	293.17291	1.8992948	138.66676	62.338097	218121	4.5981708	5	1	-110719.87	38716.205	3499	5737.72	4	-1
65	198.27107	1.4645041	147.92561	45.389885	169622	3.9165106	5	1	-110876.12	38689.276	3737	5737.72	4	-1
66	200.57411	2.1166964	107.47899	38.689224	321314	4.5613484	5	1	-110685.37	38795.379	8305	5737.72	4	-1
67	230.52312	1.6244468	150.03432	58.442108	378062	4.4564848	5	1	-110662.79	38642.191	6469	5737.72	4	-1
68	219.84563	2.0968159	169.23764	43.507271	164588	5.376421	5	1	-110813.4	38607.684	3783	5737.72	4	-1
69	186.35416	1.7571357	122.11549	49.876312	194767	3.9085786	5	1	-110875.16	38763.451	3905	5737.72	4	-1
70	172.95605	1.8634936	90.628281	32.438744	132123	3.4429169	5	1	-110822.43	38802.474	4073	5737.72	4	-1
