Object ID	Mean Intensity DAPI	Elongation Factor 	Mean Intensity Alexa 488	Mean Intensity Alexa 555	Total Intensity Alexa 555	Mean Intensity Alexa 647	Well 	Position 	X 	Y 	Area 	Z 	Parent Object ID (Well)	Parent Trace ID
0	258.58682	1.605425	162.94254	72.451691	458909	3.6954532	1	1	-83702.289	76928.59	6334	5702.02	0	-1
1	244.86206	2.1080309	163.83942	62.420296	212229	4.5935292	1	1	-83865.796	76790.076	3400	5702.02	0	-1
2	246.25537	2.1915379	165.76765	56.261642	215032	4.6653585	1	1	-83892.241	76789.754	3822	5702.02	0	-1
3	265.02267	1.5456667	187.05539	62.299965	186713	4.9035702	1	1	-83766.628	77078.875	2997	5702.02	0	-1
4	236.57277	1.5901206	185.78697	65.04213	220752.98	3.9896877	1	1	-83747.6	77060.976	3394	5702.02	0	-1
5	332.00748	1.9585625	149.33255	63.837265	324804	5.6167455	2	1	-82889.041	76968.258	5088	5701.56	1	-1
6	215.12415	1.6592506	105.36069	41.83353	177918	3.7089114	2	1	-83044.164	76959.389	4253	5701.56	1	-1
7	235.64218	2.3459417	115.45932	73.675156	373091	9.5572672	2	1	-82997.079	76849.416	5064	5701.56	1	-1
8	235.71718	1.8162089	128.31883	68.460342	355583.03	5.0277243	2	1	-82912.906	77059.686	5194	5701.56	1	-1
9	340.56131	2.1352328	149.07663	57.603447	270621	42.638569	2	1	-83009.173	77050.656	4698	5701.56	1	-1
10	200.48878	2.0179851	115.3389	49.872528	340380	13.265055	2	1	-82852.921	76987.769	6825	5701.56	1	-1
11	354.71622	1.69866	261.68686	56.529858	337031	5.7202282	2	1	-83010.946	76954.874	5962	5701.56	1	-1
12	142.30739	1.4045122	137.96848	25.631327	161016	3.5643108	2	1	-82935.965	76939.394	6282	5701.56	1	-1
13	195.93817	1.8778894	110.95345	46.04668	364966	7.1061063	2	1	-82868.562	76883.762	7926	5701.56	1	-1
14	612.23956	2.1716208	216.40753	60.13493	482222	4.1657314	3	1	-82198.666	76845.546	8019	5703.31	2	-1
15	405.74329	1.7055846	152.31619	52.723461	300471	5.1584487	3	1	-82222.37	76826.519	5699	5703.31	2	-1
16	269.63547	2.4556925	157.06223	53.646317	182773	4.5981803	3	1	-82117.557	77053.881	3407	5703.31	2	-1
17	284.33362	2.3045977	125.32453	44.561447	200883	40.436779	3	1	-82153.516	77038.885	4508	5703.31	2	-1
18	304.15131	1.7468116	132.16278	52.67329	363077	89.242706	3	1	-82236.721	76991.477	6893	5703.31	2	-1
19	547.12616	1.421232	136.96223	55.895004	229449	3.8906212	3	1	-82176.736	76970.193	4105	5703.31	2	-1
20	450.57629	1.4309463	174.5405	72.008949	168933	5.6555839	3	1	-82106.109	76948.908	2346	5703.31	2	-1
21	228.54126	1.9223256	99.667526	43.50573	186074	4.0142622	3	1	-82078.857	76856.189	4277	5703.31	2	-1
22	385.60184	1.7458463	170.31451	124.72444	477071	4.3257518	3	1	-81964.531	76940.039	3825	5703.31	2	-1
23	611.04858	1.4418204	163.32544	55.450039	224739	4.3459167	3	1	-82151.904	76977.61	4053	5703.31	2	-1
24	466.43649	1.7552807	269.11288	91.633904	433520	5.9156628	3	1	-82148.518	76954.39	4731	5703.31	2	-1
25	214.09282	1.8186528	352.31348	103.06655	58851	6.4238176	3	1	-82137.875	76960.356	571	5703.31	2	-1
26	202.80881	2.5074571	108.60651	51.22797	267410	2.9609196	3	1	-82089.822	76919.721	5220	5703.31	2	-1
27	296.07236	1.7581699	147.83417	51.003857	224825	3.9296734	3	1	-82197.054	76930.686	4408	5703.31	2	-1
28	409.86642	1.7965631	346.09766	15.883183	59689	2.7216604	3	1	-82191.41	76910.852	3758	5703.31	2	-1
29	398.03525	1.6883011	199.57727	55.679306	522773	4.9320483	3	1	-82190.926	76881.827	9389	5703.31	2	-1
